0.000000000	10.30.1.60	40049	70
0.019872000	10.30.1.33	40022	72
0.021204000	10.30.1.66	40055	70
0.024885000	10.30.1.13	40002	71
0.040601000	10.30.1.49	40038	72
0.057431000	10.30.1.15	40004	71
0.071864000	10.30.1.25	40014	72
0.083323000	10.30.1.68	40057	70
0.095229000	10.30.1.20	40009	70
0.097092000	10.30.1.61	40050	72
0.102618000	10.30.1.17	40006	70
0.110575000	10.30.1.38	40027	70
0.113738000	10.30.1.63	40052	71
0.135732000	10.30.1.24	40013	70
0.155605000	10.30.1.37	40026	72
0.157240000	10.30.1.51	40040	71
0.183293000	10.30.1.71	40060	70
0.186169000	10.30.1.64	40053	70
0.192966000	10.30.1.40	40029	70
0.193524000	10.30.1.74	40063	70
0.198601000	10.30.1.18	40007	69
0.203548000	10.30.1.28	40017	70
0.204670000	10.30.1.69	40058	72
0.206379000	10.30.1.59	40048	71
0.210469000	10.30.1.16	40005	70
0.230668000	10.30.1.36	40025	70
0.230668000	10.30.1.53	40042	72
0.235793000	10.30.1.35	40024	70
0.243105000	10.30.1.23	40012	70
0.244676000	10.30.1.39	40028	68
0.250934000	10.30.1.72	40061	69
0.254919000	10.30.1.43	40032	70
0.272165000	10.30.1.29	40018	70
0.287559000	10.30.1.52	40041	70
0.299405000	10.30.1.22	40011	70
0.303474000	10.30.1.19	40008	69
0.308025000	10.30.1.21	40010	71
0.308257000	10.30.1.50	40039	70
0.308275000	10.30.1.58	40047	70
0.318412000	10.30.1.54	40043	70
0.342612000	10.30.1.26	40015	69
0.348186000	10.30.1.45	40034	72
0.350434000	10.30.1.57	40046	71
0.352491000	10.30.1.56	40045	70
0.355984000	10.30.1.73	40062	71
0.396305000	10.30.1.70	40059	70
0.401174000	10.30.1.65	40054	71
0.403303000	10.30.1.41	40030	72
0.405895000	10.30.1.34	40023	69
0.425184000	10.30.1.12	40001	70
0.449903000	10.30.1.32	40021	70
0.452427000	10.30.1.67	40056	71
0.462047000	10.30.1.44	40033	70
0.462956000	10.30.1.47	40036	71
0.463516000	10.30.1.48	40037	70
0.469046000	10.30.1.14	40003	70
0.473473000	10.30.1.30	40019	70
0.479314000	10.30.1.11	40000	70
0.484324000	10.30.1.62	40051	70
0.484653000	10.30.1.46	40035	70
0.486776000	10.30.1.55	40044	71
0.488251000	10.30.1.31	40020	71
0.490181000	10.30.1.27	40016	71
0.494212000	10.30.1.42	40031	70
0.497995000	10.30.1.60	40049	70
0.521982000	10.30.1.13	40002	71
0.525088000	10.30.1.66	40055	70
0.528160000	10.30.1.33	40022	72
0.536124000	10.30.1.49	40038	71
0.561834000	10.30.1.15	40004	71
0.575376000	10.30.1.25	40014	72
0.582184000	10.30.1.68	40057	70
0.594527000	10.30.1.61	40050	72
0.595500000	10.30.1.20	40009	70
0.612285000	10.30.1.17	40006	72
0.613072000	10.30.1.63	40052	71
0.615278000	10.30.1.38	40027	70
0.636654000	10.30.1.24	40013	70
0.656724000	10.30.1.37	40026	72
0.661613000	10.30.1.51	40040	71
0.679698000	10.30.1.71	40060	70
0.681357000	10.30.1.64	40053	70
0.695455000	10.30.1.74	40063	70
0.697885000	10.30.1.40	40029	70
0.699590000	10.30.1.18	40007	69
0.701981000	10.30.1.28	40017	70
0.704357000	10.30.1.69	40058	71
0.705688000	10.30.1.59	40048	71
0.708077000	10.30.1.16	40005	70
0.727429000	10.30.1.53	40042	71
0.733139000	10.30.1.35	40024	70
0.735428000	10.30.1.36	40025	70
0.742585000	10.30.1.23	40012	70
0.745048000	10.30.1.39	40028	68
0.749471000	10.30.1.72	40061	70
0.753096000	10.30.1.43	40032	70
0.766241000	10.30.1.29	40018	71
0.785382000	10.30.1.52	40041	70
0.803531000	10.30.1.19	40008	70
0.803979000	10.30.1.21	40010	72
0.804055000	10.30.1.22	40011	70
0.805758000	10.30.1.50	40039	70
0.812169000	10.30.1.54	40043	70
0.814457000	10.30.1.58	40047	70
0.841270000	10.30.1.26	40015	70
0.845872000	10.30.1.45	40034	72
0.849903000	10.30.1.73	40062	71
0.856600000	10.30.1.57	40046	71
0.856612000	10.30.1.56	40045	70
0.896110000	10.30.1.70	40059	70
0.900341000	10.30.1.65	40054	71
0.902836000	10.30.1.41	40030	71
0.905142000	10.30.1.34	40023	70
0.936550000	10.30.1.12	40001	70
0.943358000	10.30.1.67	40056	71
0.955739000	10.30.1.32	40021	70
0.962169000	10.30.1.48	40037	70
0.964654000	10.30.1.44	40033	70
0.967702000	10.30.1.14	40003	70
0.973287000	10.30.1.47	40036	71
0.973878000	10.30.1.30	40019	70
0.978882000	10.30.1.55	40044	71
0.981119000	10.30.1.62	40051	70
0.981932000	10.30.1.11	40000	70
0.982393000	10.30.1.46	40035	70
0.982414000	10.30.1.31	40020	70
0.987861000	10.30.1.27	40016	71
0.995807000	10.30.1.42	40031	70
1.000792000	10.30.1.60	40049	70
1.019733000	10.30.1.66	40055	70
1.022478000	10.30.1.33	40022	72
1.022745000	10.30.1.13	40002	71
1.035455000	10.30.1.49	40038	72
1.051950000	10.30.1.15	40004	71
